,City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
236235,Delhi,2020-05-22 15:00:00,168.0,536.1,66.9,126.8,119.3,34.9,2.18,22.0,151.0,5.86,8.26,9.58,193.9,Very Poor
236240,Delhi,2020-05-22 16:00:00,246.2,419.5,1.9,113.0,159.8,12.6,3.33,98.1,198.4,9.12,9.95,4.43,23.1,Moderate
236245,Delhi,2020-05-22 17:00:00,336.7,41.7,96.1,106.5,226.1,7.9,6.6,37.1,67.6,18.46,11.42,0.3,208.7,Severe
236250,Delhi,2020-05-22 18:00:00,4.2,323.0,23.8,14.2,98.1,40.1,7.2,87.7,1.1,2.67,6.12,7.8,119.6,Severe
236255,Delhi,2020-05-22 19:00:00,211.9,36.7,180.6,113.2,15.4,11.8,2.58,39.3,46.5,1.31,21.52,5.99,69.7,Severe
236260,Delhi,2020-05-22 20:00:00,276.4,442.7,52.0,91.2,176.2,12.3,4.95,59.2,54.9,16.62,24.66,3.62,109.7,Very Poor
236265,Delhi,2020-05-22 21:00:00,71.3,213.1,135.0,130.9,21.4,13.9,5.21,75.7,187.0,14.66,1.66,4.95,220.4,Satisfactory
236270,Delhi,2020-05-22 22:00:00,102.1,111.4,84.0,133.7,106.0,7.1,5.71,36.9,157.1,15.32,13.06,8.13,445.9,Good
236275,Delhi,2020-05-22 23:00:00,451.1,125.4,44.3,49.5,95.8,9.3,2.52,86.9,168.0,1.27,26.76,0.82,192.4,Very Poor
236280,Delhi,2020-05-23 00:00:00,409.2,261.0,18.2,117.4,72.9,29.1,9.93,86.9,81.2,10.56,8.54,8.44,465.3,Very Poor
236285,Delhi,2020-05-23 01:00:00,307.5,516.6,67.4,17.9,212.0,43.0,9.89,94.1,61.4,8.57,1.38,9.94,67.4,Severe
236290,Delhi,2020-05-23 02:00:00,87.9,355.7,196.5,109.2,140.9,42.0,9.62,10.1,175.1,17.72,13.51,4.07,421.3,Good
236295,Delhi,2020-05-23 03:00:00,224.4,392.7,83.7,123.7,74.8,30.7,8.6,86.1,41.4,19.23,17.24,5.75,126.3,Good
236300,Delhi,2020-05-23 04:00:00,473.7,492.6,181.9,106.6,137.1,34.2,2.29,2.8,61.7,14.64,7.12,8.62,303.7,Very Poor
236305,Delhi,2020-05-23 05:00:00,204.3,80.9,63.8,13.9,69.1,13.7,9.26,3.6,98.4,19.95,15.14,9.49,132.8,Severe
236310,Delhi,2020-05-23 06:00:00,291.2,0.1,88.3,12.8,188.3,3.3,8.67,47.5,147.0,0.4,29.29,3.29,329.2,Moderate
236315,Delhi,2020-05-23 07:00:00,320.1,343.1,86.4,51.8,89.0,33.8,0.02,34.9,71.1,16.84,8.5,0.41,292.2,Poor
236320,Delhi,2020-05-23 08:00:00,424.5,239.9,102.3,113.9,131.9,40.2,5.93,96.0,189.3,6.91,25.09,6.11,488.6,Moderate
236325,Delhi,2020-05-23 09:00:00,14.3,495.6,26.1,133.2,165.8,3.0,7.82,6.6,23.7,10.02,20.77,2.97,421.3,Severe
236330,Delhi,2020-05-23 10:00:00,272.1,127.2,39.9,122.9,156.8,47.2,1.28,68.7,128.5,2.76,15.17,9.82,101.0,Moderate
236335,Delhi,2020-05-23 11:00:00,485.6,387.6,58.3,142.3,47.4,44.8,6.35,71.7,99.1,8.63,5.24,5.57,370.4,Good
236340,Delhi,2020-05-23 12:00:00,362.0,402.7,79.8,36.7,30.4,14.9,7.7,31.8,132.7,6.76,8.9,1.2,242.6,Severe
236345,Delhi,2020-05-23 13:00:00,198.2,51.1,51.0,107.8,90.7,18.5,0.97,99.4,66.0,10.54,0.85,5.48,324.9,Satisfactory
236350,Delhi,2020-05-23 14:00:00,246.9,101.3,31.9,128.8,24.7,42.4,0.83,79.0,190.4,18.65,22.15,5.66,206.3,Good
236355,Delhi,2020-05-23 15:00:00,198.7,539.5,182.5,29.1,181.0,47.6,6.21,74.2,96.4,14.73,10.92,3.11,251.7,Moderate
236360,Delhi,2020-05-23 16:00:00,372.7,521.0,32.1,15.0,215.2,20.7,8.77,86.7,108.0,10.2,10.22,8.26,404.4,Very Poor
236365,Delhi,2020-05-23 17:00:00,438.9,547.8,190.9,112.3,249.8,36.6,1.23,4.0,91.8,17.32,25.81,7.44,486.7,Satisfactory
236370,Delhi,2020-05-23 18:00:00,426.1,282.9,106.2,8.8,17.2,13.6,1.1,16.3,144.0,12.61,6.42,6.46,90.2,Good
236375,Delhi,2020-05-23 19:00:00,0.0,105.5,130.0,2.2,100.7,12.0,9.0,43.4,185.1,10.48,19.0,5.42,199.4,Severe
236380,Delhi,2020-05-23 20:00:00,375.9,571.7,138.6,120.9,154.4,21.6,3.59,57.5,187.0,4.67,5.17,3.71,413.2,Very Poor
236385,Delhi,2020-05-23 21:00:00,372.5,522.2,107.2,148.7,56.2,39.3,8.4,11.3,111.8,16.72,20.16,3.04,7.0,Moderate
236390,Delhi,2020-05-23 22:00:00,157.0,505.9,70.9,46.6,46.2,46.1,1.38,94.5,133.6,16.51,14.35,5.35,237.9,Satisfactory
236395,Delhi,2020-05-23 23:00:00,93.3,291.1,23.3,40.0,27.1,29.0,1.17,51.1,58.1,2.7,19.13,3.1,55.3,Poor
236400,Delhi,2020-05-24 00:00:00,330.8,501.0,39.0,67.9,148.3,7.9,8.69,12.1,35.2,5.3,4.11,3.6,157.2,Moderate
236405,Delhi,2020-05-24 01:00:00,495.0,484.8,149.4,48.7,153.3,37.9,5.84,5.5,119.6,10.45,1.24,2.45,49.7,Severe
236410,Delhi,2020-05-24 02:00:00,178.4,27.3,5.5,6.9,31.2,20.5,3.51,86.6,117.3,7.3,26.81,9.54,218.3,Poor
236415,Delhi,2020-05-24 03:00:00,37.4,83.4,71.7,31.9,6.0,13.8,1.85,28.8,96.8,6.21,22.91,8.18,412.4,Very Poor
236420,Delhi,2020-05-24 04:00:00,155.2,95.3,130.9,27.5,138.9,48.7,5.67,39.5,13.1,3.07,1.81,2.2,440.4,Poor
236425,Delhi,2020-05-24 05:00:00,332.8,307.4,160.9,69.5,190.3,15.4,6.06,81.0,106.4,2.0,4.69,7.54,436.8,Severe
236430,Delhi,2020-05-24 06:00:00,172.6,566.8,24.6,60.2,28.4,20.5,4.24,45.8,196.2,16.15,20.81,6.14,22.6,Moderate
236435,Delhi,2020-05-24 07:00:00,329.2,313.6,34.1,102.5,101.8,29.4,8.32,94.5,44.1,17.82,10.69,9.41,188.8,Severe
236440,Delhi,2020-05-24 08:00:00,289.5,85.5,179.6,126.3,32.0,18.2,3.32,85.8,158.5,17.66,29.23,1.84,412.8,Severe
236445,Delhi,2020-05-24 09:00:00,357.5,125.8,139.4,80.3,198.2,49.3,7.47,62.1,56.0,15.44,18.64,9.25,247.8,Satisfactory
236450,Delhi,2020-05-24 10:00:00,146.8,140.7,170.5,147.1,158.3,40.0,1.55,22.9,117.3,13.07,25.82,4.62,402.9,Very Poor
236455,Delhi,2020-05-24 11:00:00,93.2,240.2,134.6,139.8,4.1,32.0,3.47,62.9,15.2,4.16,10.83,8.1,183.3,Satisfactory
236460,Delhi,2020-05-24 12:00:00,130.8,67.2,53.4,127.2,105.6,10.0,7.78,41.3,119.7,13.39,24.52,4.53,37.4,Satisfactory
236465,Delhi,2020-05-24 13:00:00,159.6,114.3,16.2,76.8,111.2,45.7,2.31,24.4,183.5,4.92,14.38,1.1,478.7,Satisfactory
236470,Delhi,2020-05-24 14:00:00,106.0,289.1,113.4,1.0,5.3,1.9,1.23,67.5,131.0,2.42,1.68,6.51,135.5,Moderate
236475,Delhi,2020-05-24 15:00:00,464.4,163.5,158.9,47.2,26.3,37.0,1.83,10.0,187.3,17.15,17.21,3.75,187.6,Poor
236480,Delhi,2020-05-24 16:00:00,12.6,569.1,30.0,125.3,118.4,0.3,0.53,33.0,167.1,5.01,5.1,2.76,244.6,Severe
236485,Delhi,2020-05-24 17:00:00,79.5,403.2,90.7,75.2,43.7,18.1,3.85,40.5,170.5,11.84,24.26,5.88,101.5,Good
236490,Delhi,2020-05-24 18:00:00,283.6,396.7,87.3,0.7,212.3,42.7,4.75,71.4,41.1,7.65,8.54,3.47,130.7,Good
236495,Delhi,2020-05-24 19:00:00,412.4,199.9,156.3,103.7,127.3,31.0,4.54,30.5,4.0,15.63,7.6,8.3,380.6,Good
236500,Delhi,2020-05-24 20:00:00,219.3,323.1,158.2,69.3,48.9,49.7,9.25,5.3,46.4,14.06,16.37,8.96,474.4,Severe
236505,Delhi,2020-05-24 21:00:00,478.3,191.8,86.5,41.7,146.2,37.9,1.52,91.2,169.7,6.62,17.01,7.77,6.1,Poor
236510,Delhi,2020-05-24 22:00:00,474.4,581.7,138.2,101.1,195.1,36.3,9.91,29.5,28.6,16.82,24.77,6.34,424.5,Severe
236515,Delhi,2020-05-24 23:00:00,415.1,74.8,21.3,80.4,86.1,49.5,1.08,11.6,169.5,9.55,26.47,6.2,246.0,Poor
236520,Delhi,2020-05-25 00:00:00,108.6,549.6,89.6,52.4,92.7,12.2,2.34,59.5,162.9,2.19,12.7,0.5,86.8,Severe
236525,Delhi,2020-05-25 01:00:00,358.3,166.2,184.9,44.1,105.2,41.4,1.63,42.7,177.9,0.47,19.16,7.52,2.6,Satisfactory
236530,Delhi,2020-05-25 02:00:00,154.7,450.2,199.6,29.8,16.5,32.8,7.67,32.7,66.1,16.14,1.22,4.83,380.5,Very Poor
236535,Delhi,2020-05-25 03:00:00,472.6,146.9,182.1,87.3,20.9,12.7,9.49,13.3,106.4,11.8,10.9,3.17,362.7,Moderate
236540,Delhi,2020-05-25 04:00:00,247.1,567.6,24.3,121.4,129.6,21.2,0.03,64.6,46.5,18.57,23.6,0.81,48.9,Moderate
236545,Delhi,2020-05-25 05:00:00,128.0,444.5,13.2,61.0,6.4,22.6,2.27,29.6,149.4,10.41,2.73,0.51,445.6,Good
236550,Delhi,2020-05-25 06:00:00,204.8,151.3,45.9,98.3,114.3,35.7,9.72,39.3,50.7,16.61,22.58,5.62,70.7,Satisfactory
236555,Delhi,2020-05-25 07:00:00,274.8,358.0,15.1,87.0,5.4,21.7,5.91,85.0,79.8,1.01,20.37,8.42,358.6,Moderate
236560,Delhi,2020-05-25 08:00:00,333.7,175.8,12.5,78.9,165.2,17.1,4.46,26.0,126.4,3.51,22.14,6.38,96.9,Satisfactory
236565,Delhi,2020-05-25 09:00:00,435.8,275.8,55.7,58.3,79.9,1.9,8.6,34.2,12.4,7.73,4.52,7.82,135.8,Poor
236570,Delhi,2020-05-25 10:00:00,476.6,48.5,173.0,23.5,35.8,25.2,1.79,43.6,92.7,1.51,10.07,3.1,314.3,Good
236575,Delhi,2020-05-25 11:00:00,496.9,422.4,35.2,77.5,192.0,28.3,8.44,55.3,47.6,17.9,18.15,8.21,227.8,Good
236580,Delhi,2020-05-25 12:00:00,335.9,521.4,71.6,26.5,186.2,11.9,9.7,27.2,41.3,9.57,7.4,5.38,497.9,Very Poor
236585,Delhi,2020-05-25 13:00:00,124.7,576.8,115.2,131.8,128.4,48.2,9.62,53.5,21.2,6.16,28.31,1.27,407.6,Moderate
236590,Delhi,2020-05-25 14:00:00,368.6,154.3,78.7,12.4,228.5,14.3,1.63,54.2,192.5,5.16,15.99,5.16,185.2,Poor
236595,Delhi,2020-05-25 15:00:00,128.0,214.5,33.4,92.0,132.2,15.8,7.27,84.8,5.1,13.67,0.15,4.44,77.1,Severe
236600,Delhi,2020-05-25 16:00:00,123.9,387.9,66.8,3.7,1.4,23.6,8.66,68.5,90.8,8.16,23.2,3.78,402.1,Satisfactory
236605,Delhi,2020-05-25 17:00:00,106.1,18.0,152.8,122.6,10.6,45.4,3.0,48.7,127.0,1.57,17.67,1.8,208.0,Very Poor
236610,Delhi,2020-05-25 18:00:00,153.1,103.5,125.8,60.6,162.8,28.9,5.56,27.3,72.9,7.04,12.26,8.39,330.1,Severe
236615,Delhi,2020-05-25 19:00:00,485.7,9.0,138.1,40.5,196.9,45.0,5.77,97.1,144.3,6.26,26.73,0.36,104.3,Good
236620,Delhi,2020-05-25 20:00:00,259.7,333.1,140.6,27.7,163.6,39.5,7.75,18.7,176.8,11.47,23.45,3.08,306.8,Moderate
236625,Delhi,2020-05-25 21:00:00,107.5,293.7,74.4,46.3,80.9,3.4,5.79,40.6,178.1,6.31,0.52,7.9,487.4,Good
236630,Delhi,2020-05-25 22:00:00,126.6,329.7,138.9,6.1,207.2,36.5,8.17,86.1,15.9,11.05,20.2,3.47,183.1,Poor
236635,Delhi,2020-05-25 23:00:00,489.1,180.9,94.1,80.0,68.6,9.8,6.93,88.0,45.0,18.52,2.4,8.21,165.5,Very Poor
236640,Delhi,2020-05-26 00:00:00,175.7,180.6,81.4,48.7,168.5,28.7,0.34,98.2,12.3,8.96,3.67,5.26,406.7,Poor
236645,Delhi,2020-05-26 01:00:00,80.5,134.6,51.8,19.7,233.1,42.3,3.31,60.7,142.5,5.76,12.47,0.83,96.0,Good
236650,Delhi,2020-05-26 02:00:00,56.0,247.7,89.1,5.2,111.7,49.1,2.62,73.3,47.9,4.03,5.28,0.43,390.5,Poor
236655,Delhi,2020-05-26 03:00:00,418.5,139.8,143.9,43.4,229.3,49.9,6.04,63.6,67.8,16.29,12.19,8.24,219.2,Severe
236660,Delhi,2020-05-26 04:00:00,327.0,60.8,97.1,128.9,215.2,39.7,8.04,43.3,31.0,3.94,29.39,5.18,452.2,Satisfactory
236665,Delhi,2020-05-26 05:00:00,268.8,444.8,94.1,11.0,224.9,46.1,5.46,23.2,156.5,6.05,0.96,7.79,454.4,Good
236670,Delhi,2020-05-26 06:00:00,36.6,335.6,61.2,88.4,138.6,40.4,4.13,46.2,166.2,5.08,8.38,5.14,96.8,Satisfactory
236675,Delhi,2020-05-26 07:00:00,219.2,356.2,123.7,23.3,111.7,29.9,4.53,51.8,192.9,11.45,20.93,7.75,322.7,Poor
236680,Delhi,2020-05-26 08:00:00,423.2,213.4,139.3,102.8,49.5,19.0,1.51,40.0,121.6,0.94,0.93,8.82,482.3,Poor
236685,Delhi,2020-05-26 09:00:00,136.9,105.7,84.7,13.6,110.5,33.1,6.09,76.6,32.0,1.16,20.29,1.25,83.5,Severe
236690,Delhi,2020-05-26 10:00:00,183.4,253.4,152.7,28.7,219.4,42.4,0.24,86.3,133.5,12.46,8.81,0.91,9.2,Moderate
236695,Delhi,2020-05-26 11:00:00,229.4,500.3,26.2,114.3,42.4,37.4,3.43,4.6,160.6,6.2,29.5,1.79,479.2,Very Poor
236700,Delhi,2020-05-26 12:00:00,124.9,376.5,180.5,75.1,92.8,41.5,8.84,54.3,175.4,4.9,15.88,9.59,294.3,Satisfactory
236705,Delhi,2020-05-26 13:00:00,446.7,2.0,116.1,75.9,231.9,3.1,2.84,48.3,173.8,1.48,13.35,1.67,416.8,Good
236710,Delhi,2020-05-26 14:00:00,220.6,154.2,172.4,4.8,116.3,47.5,1.2,65.5,158.1,5.74,29.82,1.63,478.4,Satisfactory
236715,Delhi,2020-05-26 15:00:00,457.9,261.2,52.8,105.3,63.9,12.8,0.71,69.2,199.7,4.76,6.42,5.89,416.8,Severe
236720,Delhi,2020-05-26 16:00:00,495.1,143.4,190.6,28.6,173.8,19.3,5.74,63.5,122.3,10.4,25.96,4.06,69.9,Good
236725,Delhi,2020-05-26 17:00:00,69.3,569.3,51.7,44.8,72.4,23.8,5.29,25.7,47.7,16.66,2.07,5.48,102.6,Very Poor
236730,Delhi,2020-05-26 18:00:00,83.3,104.9,180.3,73.1,47.5,36.9,3.94,19.7,63.7,5.55,15.5,4.67,186.2,Very Poor
236735,Delhi,2020-05-26 19:00:00,230.0,43.2,163.5,10.8,70.3,26.1,5.69,65.6,71.6,4.42,7.57,0.06,466.3,Moderate
236740,Delhi,2020-05-26 20:00:00,481.3,169.6,9.2,115.0,172.6,35.8,9.93,4.7,164.2,10.35,1.33,8.26,409.7,Moderate
236745,Delhi,2020-05-26 21:00:00,94.3,462.5,177.5,15.9,171.1,34.2,4.61,92.9,17.8,19.27,11.67,7.57,466.9,Very Poor
236750,Delhi,2020-05-26 22:00:00,267.1,200.9,4.0,42.6,20.8,39.0,6.19,65.2,67.5,13.88,8.25,4.4,312.1,Very Poor
236755,Delhi,2020-05-26 23:00:00,335.1,311.3,77.7,12.7,89.1,2.9,4.25,79.2,21.2,2.41,25.63,8.53,299.2,Poor
236760,Delhi,2020-05-27 00:00:00,306.8,324.7,163.7,18.2,205.5,17.3,3.52,31.4,55.5,10.18,15.51,5.53,74.4,Good
236765,Delhi,2020-05-27 01:00:00,450.4,4.7,114.9,8.4,179.0,7.3,2.35,72.1,140.8,15.51,22.14,7.0,264.9,Severe
236770,Delhi,2020-05-27 02:00:00,132.2,347.4,58.3,105.4,117.0,10.0,6.28,57.1,148.3,17.57,5.23,0.44,91.1,Very Poor
236775,Delhi,2020-05-27 03:00:00,249.6,466.7,9.4,133.6,81.4,31.8,8.6,72.2,75.5,8.84,12.59,6.07,349.8,Satisfactory
236780,Delhi,2020-05-27 04:00:00,76.3,370.4,106.4,59.2,76.7,23.2,3.1,14.1,168.4,16.85,2.33,3.14,378.7,Good
236785,Delhi,2020-05-27 05:00:00,358.6,517.2,64.9,18.8,19.7,46.5,2.03,56.4,120.4,17.06,16.48,5.15,79.7,Poor
236790,Delhi,2020-05-27 06:00:00,9.6,2.9,57.0,122.2,198.1,48.5,8.47,43.7,185.2,18.25,12.53,1.76,450.8,Severe
236795,Delhi,2020-05-27 07:00:00,382.2,415.5,89.8,27.2,50.2,32.1,0.85,68.3,91.8,12.77,23.33,5.85,149.2,Satisfactory
236800,Delhi,2020-05-27 08:00:00,289.4,247.1,166.8,144.4,144.9,30.0,5.54,7.5,119.0,17.73,25.14,8.09,83.3,Very Poor
236805,Delhi,2020-05-27 09:00:00,451.4,59.2,119.3,25.6,224.3,27.1,9.52,90.0,168.9,8.65,27.62,4.58,114.4,Moderate
236810,Delhi,2020-05-27 10:00:00,172.4,24.3,115.0,141.3,137.5,5.2,1.09,98.0,172.1,1.14,4.96,9.95,326.4,Poor
236815,Delhi,2020-05-27 11:00:00,369.2,413.0,122.5,86.8,239.6,41.8,5.7,83.1,62.2,17.51,28.85,5.55,289.1,Severe
236820,Delhi,2020-05-27 12:00:00,207.2,50.0,39.9,51.2,185.7,45.6,9.98,9.3,130.7,11.99,18.55,1.93,332.3,Severe
236825,Delhi,2020-05-27 13:00:00,140.5,315.6,111.1,136.3,16.2,48.8,6.14,99.1,181.4,19.79,29.43,0.44,116.2,Poor
236830,Delhi,2020-05-27 14:00:00,365.8,184.9,80.4,16.6,152.6,0.9,3.05,12.7,109.1,15.26,1.75,9.8,276.8,Severe
236835,Delhi,2020-05-27 15:00:00,459.3,496.0,153.5,17.4,162.5,27.9,9.51,11.5,126.8,5.91,16.03,5.54,153.2,Severe
236840,Delhi,2020-05-27 16:00:00,0.7,42.8,45.7,9.2,7.2,41.4,6.21,60.4,156.7,0.51,27.83,2.81,17.3,Satisfactory
236845,Delhi,2020-05-27 17:00:00,119.9,227.2,188.4,129.7,93.7,16.5,7.1,50.1,134.0,5.36,5.22,0.87,218.3,Very Poor
236850,Delhi,2020-05-27 18:00:00,293.3,598.0,0.6,89.5,218.3,21.5,8.76,2.2,28.3,7.64,4.78,6.03,236.5,Very Poor
236855,Delhi,2020-05-27 19:00:00,96.3,141.2,188.6,109.2,236.8,6.3,2.92,93.0,134.6,6.25,15.21,5.32,357.9,Moderate
236860,Delhi,2020-05-27 20:00:00,261.3,453.7,129.9,130.6,54.0,26.6,4.98,46.8,176.5,15.73,10.65,1.8,302.2,Good
236865,Delhi,2020-05-27 21:00:00,3.5,175.6,20.9,38.8,75.1,3.2,9.0,12.4,120.5,8.19,1.83,4.07,152.1,Good
236870,Delhi,2020-05-27 22:00:00,422.1,468.7,150.3,4.5,19.5,19.7,7.41,23.5,184.3,7.81,26.94,4.2,456.1,Poor
236875,Delhi,2020-05-27 23:00:00,355.2,108.0,161.2,60.4,238.3,1.1,0.58,23.8,163.6,11.82,4.85,1.27,373.1,Moderate
236880,Delhi,2020-05-28 00:00:00,252.0,98.2,19.9,32.3,0.3,3.2,8.41,64.5,122.9,7.75,25.85,5.72,237.6,Very Poor
236885,Delhi,2020-05-28 01:00:00,133.7,360.1,137.5,17.4,130.5,13.6,3.04,94.4,128.9,2.96,13.63,9.99,461.6,Poor
236890,Delhi,2020-05-28 02:00:00,380.6,231.1,159.2,33.6,19.4,8.6,1.26,29.9,98.3,1.31,17.77,8.51,219.5,Very Poor
236895,Delhi,2020-05-28 03:00:00,392.7,488.8,107.4,142.2,0.2,32.1,2.73,16.8,194.2,14.0,25.64,9.98,401.9,Very Poor
236900,Delhi,2020-05-28 04:00:00,29.7,138.5,3.3,103.8,59.2,38.6,0.85,45.3,86.8,7.89,3.05,5.36,242.2,Very Poor
236905,Delhi,2020-05-28 05:00:00,315.9,211.2,98.3,71.0,109.1,24.4,8.81,37.6,147.4,13.27,19.44,4.97,217.0,Poor
236910,Delhi,2020-05-28 06:00:00,211.1,455.9,48.7,73.2,163.2,1.0,6.87,8.6,37.5,4.34,19.12,1.36,304.3,Poor
236915,Delhi,2020-05-28 07:00:00,153.3,113.2,107.6,43.4,104.2,45.7,6.69,37.0,123.2,10.6,18.56,4.56,248.4,Moderate
236920,Delhi,2020-05-28 08:00:00,85.9,271.0,159.6,142.5,234.2,16.9,3.51,12.4,158.2,17.86,26.87,6.67,262.4,Moderate
236925,Delhi,2020-05-28 09:00:00,57.2,26.3,36.7,81.3,244.4,20.3,1.39,4.6,117.1,5.29,16.93,5.87,271.7,Poor
236930,Delhi,2020-05-28 10:00:00,235.5,224.6,34.6,100.7,48.6,39.5,4.98,57.5,147.7,18.48,23.15,0.6,372.4,Moderate
236935,Delhi,2020-05-28 11:00:00,130.2,212.4,15.7,78.6,153.5,29.6,3.35,45.5,98.9,18.28,9.47,9.69,312.2,Moderate
236940,Delhi,2020-05-28 12:00:00,282.8,311.7,151.3,123.3,92.2,6.7,6.27,81.0,1.0,0.39,17.67,6.11,204.3,Poor
236945,Delhi,2020-05-28 13:00:00,98.3,406.6,140.9,140.6,227.6,6.9,7.15,84.7,45.7,6.74,28.98,0.22,93.9,Very Poor
236950,Delhi,2020-05-28 14:00:00,382.2,272.8,7.3,87.2,215.5,2.2,8.65,1.8,80.2,14.02,28.4,3.39,154.7,Very Poor
236955,Delhi,2020-05-28 15:00:00,323.0,588.1,15.1,90.4,115.7,1.7,7.74,83.9,109.7,19.38,25.22,6.21,465.9,Satisfactory
236960,Delhi,2020-05-28 16:00:00,488.5,294.9,10.1,87.8,5.8,24.3,6.77,32.1,82.0,4.55,29.86,5.04,303.8,Satisfactory
236965,Delhi,2020-05-28 17:00:00,63.1,191.0,132.6,1.8,27.7,38.1,2.06,38.0,51.8,3.13,23.83,1.88,7.3,Severe
236970,Delhi,2020-05-28 18:00:00,295.2,494.2,180.4,105.9,78.3,21.5,0.62,81.9,150.3,0.38,25.47,7.14,123.5,Poor
236975,Delhi,2020-05-28 19:00:00,166.0,584.1,159.1,30.0,45.9,20.5,0.79,72.4,47.2,12.56,6.57,3.31,243.0,Severe
236980,Delhi,2020-05-28 20:00:00,182.4,66.8,150.8,82.0,122.5,4.1,8.75,36.8,125.1,15.78,7.45,6.92,158.4,Poor
236985,Delhi,2020-05-28 21:00:00,447.3,154.5,194.1,67.2,183.4,20.1,1.16,7.1,29.8,13.88,6.34,5.24,72.0,Severe
236990,Delhi,2020-05-28 22:00:00,254.3,392.2,123.0,108.4,35.0,24.9,3.23,7.7,32.7,4.78,27.53,4.39,154.7,Satisfactory
236995,Delhi,2020-05-28 23:00:00,177.0,510.2,96.8,98.3,223.1,26.5,2.39,98.6,68.8,6.51,27.77,8.59,461.1,Poor
237000,Delhi,2020-05-29 00:00:00,277.1,187.8,53.0,134.1,39.3,15.5,8.83,5.0,2.8,15.04,16.43,9.69,225.2,Moderate
237005,Delhi,2020-05-29 01:00:00,407.4,551.4,1.7,5.6,58.7,5.0,2.22,51.5,40.6,13.64,16.82,4.37,24.9,Moderate
237010,Delhi,2020-05-29 02:00:00,326.0,82.9,145.0,58.5,205.7,37.4,2.22,59.2,97.0,18.56,29.34,7.4,345.4,Good
237015,Delhi,2020-05-29 03:00:00,256.9,332.4,40.9,22.1,161.9,34.7,4.72,0.5,118.7,17.98,10.97,3.61,186.6,Poor
237020,Delhi,2020-05-29 04:00:00,214.3,60.6,55.3,128.0,89.6,28.7,9.06,42.4,162.3,6.19,12.06,2.72,2.3,Very Poor
237025,Delhi,2020-05-29 05:00:00,150.0,88.8,66.4,4.6,162.0,27.3,0.13,9.2,182.4,13.51,24.23,0.11,129.9,Satisfactory
237030,Delhi,2020-05-29 06:00:00,146.6,210.5,68.7,89.0,121.4,40.2,2.33,59.3,97.6,0.34,10.82,8.5,462.6,Moderate
237035,Delhi,2020-05-29 07:00:00,85.7,96.1,22.9,126.8,82.2,31.7,2.54,28.9,184.1,17.96,17.51,9.89,31.8,Moderate
237040,Delhi,2020-05-29 08:00:00,232.4,549.9,43.3,6.6,62.1,1.5,5.92,30.0,23.4,7.82,12.46,7.45,329.0,Good
237045,Delhi,2020-05-29 09:00:00,299.2,598.6,43.0,15.5,204.3,9.4,9.96,40.4,39.3,19.65,0.18,6.55,39.2,Very Poor
237050,Delhi,2020-05-29 10:00:00,100.9,500.0,85.6,35.5,55.1,5.3,2.49,39.2,40.4,14.16,14.85,0.74,356.2,Very Poor
237055,Delhi,2020-05-29 11:00:00,163.5,96.4,177.9,49.0,139.0,34.0,5.35,31.8,121.2,3.44,0.71,6.83,1.7,Severe
237060,Delhi,2020-05-29 12:00:00,39.5,64.3,16.7,79.5,105.5,30.4,7.2,47.7,146.9,3.15,4.29,2.63,349.9,Very Poor
237065,Delhi,2020-05-29 13:00:00,411.0,354.8,16.8,119.3,10.0,38.9,1.46,35.0,21.3,13.82,27.64,8.59,434.4,Poor
237070,Delhi,2020-05-29 14:00:00,367.6,305.3,19.3,44.2,226.2,0.3,8.6,63.7,104.4,0.47,26.34,3.04,483.6,Poor
237075,Delhi,2020-05-29 15:00:00,297.6,240.8,110.5,22.3,74.1,44.7,9.89,61.4,56.8,16.24,5.35,3.81,158.4,Severe
237080,Delhi,2020-05-29 16:00:00,314.1,559.6,139.6,136.6,189.4,29.9,9.0,93.4,121.6,13.99,19.04,9.57,297.1,Poor
237085,Delhi,2020-05-29 17:00:00,206.2,386.5,87.9,97.6,186.6,24.2,2.67,65.2,68.6,12.61,14.68,7.33,284.9,Severe
237090,Delhi,2020-05-29 18:00:00,12.6,360.6,2.0,117.1,101.1,40.5,8.35,71.0,89.7,1.02,0.07,0.48,329.1,Satisfactory
237095,Delhi,2020-05-29 19:00:00,246.6,333.0,159.9,17.4,180.1,28.1,7.99,54.8,8.6,3.64,1.25,6.89,455.5,Poor
237100,Delhi,2020-05-29 20:00:00,85.8,210.8,166.3,108.2,233.1,16.9,6.23,55.1,144.5,18.29,13.78,5.67,434.3,Good
237105,Delhi,2020-05-29 21:00:00,407.8,440.8,33.6,19.9,196.6,18.8,5.81,18.4,48.0,4.18,5.26,8.08,322.8,Good
237110,Delhi,2020-05-29 22:00:00,476.8,284.0,183.5,113.2,47.1,2.6,4.93,90.3,187.1,9.56,25.19,5.96,430.5,Good
237115,Delhi,2020-05-29 23:00:00,287.6,512.6,51.3,81.4,246.4,13.3,5.85,5.4,76.9,4.28,6.8,7.94,157.7,Moderate
237120,Delhi,2020-05-30 00:00:00,490.6,110.9,125.0,26.6,75.6,40.0,7.21,86.0,198.4,15.63,12.57,7.7,29.1,Good
237125,Delhi,2020-05-30 01:00:00,167.7,483.5,48.7,52.0,201.3,0.3,6.31,68.6,144.7,7.22,25.02,2.03,466.9,Good
